# nkptgw: 1 neig: 144
# E(DFT) E(GW)
-20.545 -30.82
-20.138 -30.429
-17.815 -27.246
-15.711 -24.503
-14.966 -23.358
-12.631 -19.789
-12.114 -18.997
-10.981 -17.27
-10.428 -16.383
-10.381 -16.065
-9.939 -15.78
-9.852 -15.602
-9.840 -15.586
-9.698 -15.392
-9.477 -15.035
-9.463 -15.016
-9.348 -15.13
-8.827 -14.117
-8.794 -14.058
-8.459 -13.586
-8.431 -13.526
-8.422 -13.504
-8.358 -13.346
-8.347 -13.329
-8.342 -13.325
-8.333 -13.313
-7.946 -13.176
-7.656 -12.743
-7.608 -12.571
-7.382 -12.477
-7.336 -11.834
-7.309 -11.8
-7.307 -11.782
-7.297 -11.781
-7.278 -11.835
-7.259 -11.872
-6.956 -11.341
-6.920 -11.23
-6.834 -11.597
-6.500 -10.467
-6.494 -10.485
-6.437 -10.696
-6.209 -10.479
-5.878 -9.287
-5.832 -9.506
-5.806 -9.461
-5.799 -9.451
-5.544 -10.006
-5.500 -8.918
-5.472 -8.863
-5.298 -8.73
-5.149 -8.44
-5.065 -8.149
-5.056 -8.146
-5.049 -8.109
-5.025 -8.046
-5.016 -8.035
-5.012 -8.05
-4.873 -8.027
-4.797 -7.858
-4.587 -7.556
-4.183 -6.991
-4.068 -6.545
-4.052 -6.521
-4.046 -6.489
-4.037 -6.49
-4.026 -6.47
-4.025 -6.454
-4.010 -6.501
-3.974 -6.296
-3.963 -6.286
-3.945 -6.244
-3.930 -6.186
-3.864 -6.303
-3.733 -6.082
-3.703 -6.03
-3.692 -6.097
-3.682 -5.741
-3.565 -6.195
-3.104 -5.016
-2.997 -4.675
-2.969 -4.651
-2.947 -4.627
-2.935 -4.552
-2.779 -4.407
-2.765 -4.406
-2.718 -4.336
-2.678 -4.273
-2.436 -3.848
-2.388 -3.732
-2.263 -3.432
-2.232 -3.28
-2.222 -3.273
-2.153 -4.194
-2.053 -2.907
-2.013 -3.241
-1.800 -2.688
-1.759 -2.524
-1.564 -2.271
-1.430 -1.941
-1.315 -1.707
-1.264 -1.58
-1.225 -1.326
-1.210 -1.225
-1.116 -1.042
-1.098 -1.08
-1.076 -1.191
-0.834 -0.546
-0.831 -0.523
-0.702 -0.316
-0.653 -0.041
-0.604 -0.142
-0.564 -0.176
-0.536 -0.027
-0.414 0.214
-0.326 0.517
-0.273 0.725
-0.259 0.601
-0.252 0.581
-0.239 1.61
0.040 2.442
0.123 2.318
0.171 2.301
0.207 2.505
0.244 2.788
0.281 2.699
0.322 2.791
0.334 2.906
0.340 2.852
0.385 2.868
0.402 2.953
0.535 3.305
0.641 3.498
0.747 3.682
0.792 3.805
0.846 3.787
0.864 3.88
0.949 4.079
1.190 4.476
1.210 4.561
1.285 4.598
1.307 4.675
1.408 5.323
1.449 5.085
