# nkptgw: 1  neig: 144
# E(DFT) E(GW)
-30.82 -30.9637044391
-30.429 -30.4610148218
-27.246 -27.4582365432
-24.503 -24.6172645233
-23.358 -23.2097594344
-19.789 -19.9102432719
-18.997 -19.1988758869
-17.27 -17.3004018525
-16.383 -16.579667946
-16.065 -16.0922203003
-15.78 -15.8245624811
-15.602 -15.6222697767
-15.586 -15.6745509885
-15.392 -15.755426845
-15.035 -15.0716060766
-15.016 -15.1865497526
-15.13 -15.4964470724
-14.117 -13.6203432717
-14.058 -14.04358398
-13.586 -13.5863389763
-13.526 -13.4486253143
-13.504 -13.4700599833
-13.346 -13.3432016884
-13.329 -13.2723839641
-13.325 -13.2915865044
-13.313 -13.3270135535
-13.176 -13.1704907108
-12.743 -12.7621657609
-12.571 -14.8763401764
-12.477 -12.3521612269
-11.834 -11.8879732094
-11.8 -12.0209931392
-11.782 -11.7858218627
-11.781 -10.9645409527
-11.835 -12.5149851499
-11.872 -10.9645409527
-11.341 -11.2600928889
-11.23 -11.1793246288
-11.597 -11.4643407989
-10.467 -10.4837864033
-10.485 -10.4570970675
-10.696 -12.0209931392
-10.479 -8.34975980918
-9.287 -8.34975980918
-9.506 -9.42563746121
-9.461 -9.51258524886
-9.451 -9.34868546575
-10.006 -9.90586527142
-8.918 -9.00890494416
-8.863 -8.94290558618
-8.73 -7.32118987965
-8.44 -8.34975980918
-8.149 -8.16160758298
-8.146 -8.23968590612
-8.109 -8.1118404149
-8.046 -8.01715097934
-8.035 -8.01715097934
-8.05 -8.07884833022
-8.027 -7.20615947071
-7.858 -7.85496457335
-7.556 -6.86066819912
-6.991 -6.86066819912
-6.545 -6.66659824153
-6.521 -6.58472839416
-6.489 -6.60393785507
-6.49 -6.49405348211
-6.47 -6.47552432122
-6.454 -5.21822357912
-6.501 -7.64045219087
-6.296 -6.25633828168
-6.286 -6.35681897127
-6.244 -6.06750943844
-6.186 -6.1749749784
-6.303 -5.91370692237
-6.082 -5.99672572862
-6.03 -5.94033580973
-6.097 -5.99672572862
-5.741 -5.61793056539
-6.195 -6.24541960487
-5.016 -4.79739799301
-4.675 -4.69218856094
-4.651 -4.63512804249
-4.627 -4.53812286796
-4.552 -4.47175947264
-4.407 -5.34738780929
-4.406 -3.52244155043
-4.336 -4.27556161087
-4.273 -4.18106241978
-3.848 -3.81333267253
-3.732 -3.71490127556
-3.432 -3.25608435041
-3.28 -3.18495084537
-3.273 -3.32432881188
-4.194 -5.55685475447
-2.907 -2.87016458761
-3.241 -2.67351544015
-2.688 -2.67351544015
-2.524 -2.44234178453
-2.271 -1.61623503932
-1.941 -1.941
-1.707 -1.707
-1.58 -1.58
-1.326 -1.326
-1.225 -1.225
-1.042 -1.042
-1.08 -1.08
-1.191 -1.191
-0.546 -0.546
-0.523 -0.523
-0.316 -0.316
-0.041 -0.041
-0.142 -0.142
-0.176 -0.176
-0.027 -0.027
0.214 0.214
0.517 0.517
0.725 0.725
0.601 0.601
0.581 0.581
1.61 1.61
2.442 2.442
2.318 2.318
2.301 2.301
2.505 2.505
2.788 2.788
2.699 2.699
2.791 2.791
2.906 2.906
2.852 2.852
2.868 2.868
2.953 2.953
3.305 3.305
3.498 3.498
3.682 3.682
3.805 3.805
3.787 3.787
3.88 3.88
4.079 4.079
4.476 4.476
4.561 4.561
4.598 4.598
4.675 4.675
5.323 5.323
5.085 5.085
