# nkptgw: 1 neig: 136
# E(DFT) pulse
-10.67692479 1.0 
-10.10902479 1.0 
-9.92022479 1.0 
-9.62992479 1.0 
-9.35532479 1.0 
-9.06522479 1.0 
-8.98002479 1.0 
-8.87752479 1.0 
-8.41892479 1.0 
-8.31582479 1.0 
-8.23242479 1.0 
-7.94742479 1.0 
-7.94272479 1.0 
-7.86012479 1.0 
-7.38702479 1.0 
-7.38522479 1.0 
-7.30352479 1.0 
-7.20082479 1.0 
-7.19992479 1.0 
-6.82992479 1.0 
-6.74942479 1.0 
-6.64412479 1.0 
-6.56552479 1.0 
-6.27732479 1.0 
-6.27452479 1.0 
-6.19812479 1.0 
-5.72752479 1.0 
-5.72282479 1.0 
-5.71632479 1.0 
-5.64852479 1.0 
-5.54582479 1.0 
-5.53972479 1.0 
-5.18212479 1.0 
-5.17392479 1.0 
-5.15802479 1.0 
-5.10392479 1.0 
-5.10192479 1.0 
-4.97282479 1.0 
-4.63752479 1.0 
-4.62942479 1.0 
-4.55772479 1.0 
-4.42072479 1.0 
-4.38152479 1.0 
-4.10012479 1.0 
-4.09792479 1.0 
-4.09082479 1.0 
-4.05592479 1.0 
-3.92232479 1.0 
-3.58642479 1.0 
-3.56142479 1.0 
-3.51612479 1.0 
-3.41732479 1.0 
-3.34012479 1.0 
-3.30252479 1.0 
-3.25282479 1.0 
-3.05572479 1.0 
-2.98042479 1.0 
-2.97162479 1.0 
-2.95372479 1.0 
-2.76492479 1.0 
-2.71862479 1.0 
-2.55552479 1.0 
-2.54092479 1.0 
-2.49042479 1.0 
-2.47452479 1.0 
-2.42202479 1.0 
-2.32222479 1.0 
-2.10062479 1.0 
-2.09282479 1.0 
-2.06012479 1.0 
-2.00962479 1.0 
-1.89232479 1.0 
-1.79372479 1.0 
-1.71402479 1.0 
-1.65832479 1.0 
-1.57622479 1.0 
-1.54382479 1.0 
-1.38182479 1.0 
-1.38012479 1.0 
-1.19072479 1.0 
-1.14962479 1.0 
-1.00722479 1.0 
-0.81932479 1.0 
-0.74052479 1.0 
-0.71012479 1.0 
-0.63672479 1.0 
-0.55262479 1.0 
-0.52362479 1.0 
-0.45322479 1.0 
-0.34102479 1.0 
-0.30642479 1.0 
-0.19942479 1.0 
-0.17532479 1.0 
-0.15372479 1.0 
-0.05632479 1.0 
-0.03842479 1.0 
0.02507521 1.0 
0.12657521 1.0 
0.18357521 1.0 
0.28517521 1.0 
0.35487521 1.0 
0.36417521 1.0 
0.51157521 1.0 
0.54027521 1.0 
0.70527521 1.0 
0.75137521 1.0 
0.80687521 1.0 
0.81147521 1.0 
0.83017521 1.0 
0.84367521 1.0 
0.99137521 1.0 
1.04857521 1.0 
1.08117521 1.0 
1.10117521 1.0 
1.28197521 1.0 
1.28697521 1.0 
1.43387521 1.0 
1.55957521 1.0 
1.57977521 1.0 
1.80117521 1.0 
1.80837521 1.0 
1.81007521 1.0 
1.84457521 1.0 
1.93097521 1.0 
1.95247521 1.0 
1.99597521 1.0 
2.05217521 1.0 
2.05237521 1.0 
2.09217521 1.0 
2.12677521 1.0 
2.19487521 1.0 
2.25407521 1.0 
2.36667521 1.0 
2.42707521 1.0 
2.50127521 1.0 
2.72837521 1.0 
