# nkptgw: 4 neig: 144
# E(DFT) pulse
-10.82254443 1.0 
-9.97072443 1.0 
-9.78559643 1.0 
-9.68794243 1.0 
-9.40575043 1.0 
-8.93856543 1.0 
-8.93662543 1.0 
-8.84302543 1.0 
-8.65737843 1.0 
-8.37682543 1.0 
-8.28253443 1.0 
-8.11267343 1.0 
-8.09617643 1.0 
-7.91044643 1.0 
-7.81739743 1.0 
-7.53879743 1.0 
-7.27226043 1.0 
-7.26047843 1.0 
-7.07528143 1.0 
-6.99345943 1.0 
-6.89133443 1.0 
-6.71537443 1.0 
-6.52174743 1.0 
-6.25346443 1.0 
-6.16128743 1.0 
-5.87912843 1.0 
-5.86997243 1.0 
-5.79019743 1.0 
-5.78915943 1.0 
-5.61049943 1.0 
-5.60777943 1.0 
-5.42725443 1.0 
-5.06392343 1.0 
-5.03277043 1.0 
-4.88136143 1.0 
-4.79115843 1.0 
-4.78859643 1.0 
-4.78684143 1.0 
-4.75600843 1.0 
-4.69797343 1.0 
-4.61221043 1.0 
-4.48039943 1.0 
-4.24908643 1.0 
-4.24612943 1.0 
-4.15884643 1.0 
-4.07736643 1.0 
-4.02504543 1.0 
-3.98283043 1.0 
-3.93379143 1.0 
-3.80259643 1.0 
-3.73042543 1.0 
-3.39769043 1.0 
-3.39710043 1.0 
-3.34891243 1.0 
-3.31020243 1.0 
-3.30907043 1.0 
-3.26896643 1.0 
-3.21591443 1.0 
-3.18844443 1.0 
-2.86159943 1.0 
-2.85566643 1.0 
-2.81409243 1.0 
-2.70003243 1.0 
-2.59653543 1.0 
-2.54523543 1.0 
-2.52058843 1.0 
-2.33055843 1.0 
-2.11484943 1.0 
-2.06509343 1.0 
-2.06450243 1.0 
-2.01399843 1.0 
-1.88951443 1.0 
-1.84375443 1.0 
-1.77486743 1.0 
-1.62793743 1.0 
-1.55953843 1.0 
-1.53877343 1.0 
-1.44944443 1.0 
-1.30716443 1.0 
-1.21246943 1.0 
-1.04123843 1.0 
-0.85327843 1.0 
-0.78205943 1.0 
-0.75701643 1.0 
-0.75140043 1.0 
-0.75007143 1.0 
-0.68299243 1.0 
-0.68295843 1.0 
-0.60924643 1.0 
-0.48213943 1.0 
-0.34768243 1.0 
-0.23880343 1.0 
-0.23097743 1.0 
-0.18375943 1.0 
-0.13075743 1.0 
0.09169957 1.0 
0.13012857 1.0 
0.15151257 1.0 
0.24881557 1.0 
0.30383357 1.0 
0.44394757 1.0 
0.47836057 1.0 
0.48660157 1.0 
0.55149657 1.0 
0.75488857 1.0 
0.79839157 1.0 
0.79978057 1.0 
0.89766557 1.0 
0.89792557 1.0 
0.92352857 1.0 
0.92764357 1.0 
1.05951157 1.0 
1.07870657 1.0 
1.08320357 1.0 
1.11919457 1.0 
1.22562857 1.0 
1.43206157 1.0 
1.52049457 1.0 
1.53764157 1.0 
1.60193857 1.0 
1.62057557 1.0 
1.71970557 1.0 
1.82836657 1.0 
1.90516757 1.0 
1.93214557 1.0 
1.94401357 1.0 
2.04105857 1.0 
2.05685157 1.0 
2.07591257 1.0 
2.12347757 1.0 
2.22955657 1.0 
2.28517357 1.0 
2.34857557 1.0 
2.38606057 1.0 
2.45319957 1.0 
2.55721157 1.0 
2.56575857 1.0 
2.67832957 1.0 
2.71689257 1.0 
2.73974457 1.0 
2.88063357 1.0 
2.94855057 1.0 
2.97238657 1.0 
3.00029157 1.0 
