# nkptgw: 1 neig: 101
# E(DFT) E(Sigma) 
-0.0999797366622 -10.0000000141 
-10.0000000123 -0.0999879016832 
-0.19997262536 -9.90000001508 
-9.90000001315 -0.199984233537 
-0.299962171713 -9.80000001611 
-9.80000001402 -0.299979121876 
-0.399946293272 -0.399971846104 
-9.70000001496 -9.70000001722 
-0.499921173178 -0.499961233634 
-0.599879294649 -9.60000001843 
-0.699804325115 -0.599945306404 
-9.60000001597 -9.50000001974 
-9.50000001707 -9.40000002116 
-9.40000001826 -0.699920580909 
-0.799655266829 -0.799880593685 
-9.30000001955 -9.30000002271 
-0.899301636644 -0.899812544769 
-0.998071490841 -0.999688850235 
-9.20000002096 -9.2000000244 
-9.10000002249 -9.10000002624 
-9.00000002415 -1.09944277146 
-1.08240305608 -9.00000002825 
-1.11395773762 -1.19888258438 
-1.20362644581 -8.90000003045 
-8.90000002596 -1.29727416184 
-1.3028703762 -1.3897841467 
-8.80000002794 -8.80000003285 
-1.40307720337 -1.44919217762 
-8.7000000301 -8.70000003549 
-8.60000003247 -1.51589548103 
-1.5038997179 -8.60000003839 
-1.60563260868 -1.61189118786 
-8.50000003506 -8.50000004158 
-1.70921031479 -1.71421901943 
-8.40000003791 -8.40000004509 
-1.8171289503 -8.30000004897 
-8.30000004104 -8.20000005325 
-1.93547907989 -1.82204205812 
-8.20000004448 -1.94079581833 
-2.06452023863 -2.06918612882 
-8.10000004828 -8.10000005799 
-8.00000005247 -2.18620548843 
-2.18287050258 -8.00000006325 
-7.90000005711 -7.90000006909 
-2.29078922216 -2.29328472463 
-7.80000006225 -7.8000000756 
-2.39436696272 -2.39637025461 
-7.70000006796 -7.70000008286 
-2.49609983776 -2.4978463333 
-2.59692225733 -7.60000009097 
-7.60000007431 -2.59861482958 
-2.69712878114 -7.50000010006 
-7.50000008138 -2.69904403181 
-7.40000008928 -7.40000011027 
-2.79637132018 -2.79929701815 
-2.88601169655 -7.30000012176 
-2.9175569391 -2.8994511911 
-7.30000009812 -2.99954499343 
-7.20000010804 -7.20000013472 
-3.00192687898 -3.09959699105 
-7.10000011918 -7.10000014939 
-3.10069803382 -7.00000016602 
-7.00000013174 -3.1996125218 
-3.2003446137 -6.90000018494 
-6.90000014592 -6.80000020652 
-3.30019561858 -3.29957936359 
-6.80000016197 -3.39941976291 
-3.40012067431 -3.49783574527 
-6.7000001802 -3.52545427227 
-3.50007880768 -6.70000023121 
-6.60000020095 -6.60000025955 
-6.50000022464 -6.5000002922 
-3.60005369379 -3.600576053 
-3.70003781873 -3.70020063355 
-6.30000028296 -3.80010365646 
-6.40000025178 -6.30000037375 
-3.80002736677 -6.40000032995 
-3.90002025543 -3.90006224728 
-6.20000031891 -6.20000042477 
-6.1000003605 -4.10002794721 
-5.9000004651 -6.10000048447 
-6.00000040879 -4.20001999165 
-5.800000531 -6.00000055463 
-4.10001172511 -5.90000063747 
-4.20000912774 -4.30001472747 
-4.30000719829 -5.8000007358 
-5.2000012815 -4.50000853973 
-5.30000109379 -4.60000667379 
-5.60000070001 -4.40001110689 
-5.50000080865 -4.90000344123 
-5.70000060849 -5.20000193746 
-4.50000462943 -5.30000162447 
-4.60000376734 -5.60000099399 
-4.90000213174 -5.50000116412 
-4.40000574271 -5.00000281778 
-5.10000150949 -5.10000232736 
-5.00000178829 -4.8000042433 
-4.80000255819 -4.00004060286 
-4.00001528315 -4.70000528913 
-4.70000309225 -5.70000085314 
-5.40000093827 -5.40000137101 
