# nkpt: 1 neig: 130
# E(LDA) E(GW)
-20.545 -24.2585
-20.138 -24.3122
-17.815 -21.2386
-15.711 -18.9071
-14.966 -17.8576
-12.631 -15.053
-12.114 -14.3228
-10.981 -11.4498
-10.428 -12.2308
-10.381 -12.1448
-9.939 -10.3014
-9.852 -10.1916
-9.84 -10.1592
-9.698 -11.1764
-9.477 -9.7692
-9.463 -9.7394
-9.348 -11.1538
-8.827 -9.0555
-8.794 -9.032
-8.459 -8.7014
-8.431 -8.6397
-8.422 -8.636
-8.358 -8.5495
-8.347 -8.543
-8.342 -8.5305
-8.333 -8.5165
-7.946 -9.572
-7.656 -8.788
-7.608 -8.2504
-7.382 -8.6528
-7.336 -7.43900388065
-7.309 -7.44500225143
-7.307 -7.42560030897
-7.297 -7.42005521759
-7.278 -7.52157410683
-7.259 -7.58485685097
-6.956 -7.1655383912
-6.92 -7.04350013677
-6.834 -7.80962581887
-6.5 -6.54301892331
-6.494 -6.54385974
-6.437 -6.85615209956
-6.209 -6.68654105602
-5.878 -6.00700197155
-5.832 -5.8937
-5.806 -5.86160100737
-5.799 -5.85060027714
-5.544 -6.54620174059
-5.5 -5.50200235544
-5.472 -5.45054507569
-5.298 -5.38486582801
-5.149 -5.21663103737
-5.065 -5.01100691736
-5.056 -4.99800447354
-5.049 -4.987
-5.025 -4.96301078727
-5.016 -4.9400002154
-5.012 -4.93600645414
-4.873 -4.94265871168
-4.797 -4.85840030335
-4.587 -5.17840864757
-4.183 -4.25054641025
-4.068 -4.0142834693
-4.052 -3.99765543352
-4.046 -3.95710885126
-4.037 -3.96427814445
-4.026 -3.94714290973
-4.025 -3.9497
-4.01 -3.97090077562
-3.974 -3.85531899329
-3.963 -3.8445
-3.945 -3.83608059455
-3.93 -3.8350019105
-3.864 -3.86519433457
-3.733 -3.73840492614
-3.703 -3.69071888839
-3.692 -3.7117330358
-3.682 -3.66470057427
-3.565 -4.0971004339
-3.104 -3.06026895628
-2.997 -2.91190118674
-2.969 -2.86641303123
-2.947 -2.8509215341
-2.935 -2.83615087259
-2.779 -2.72933314625
-2.765 -2.70863754016
-2.718 -2.67484245939
-2.678 -2.65292558844
-2.436 -2.45913576695
-2.388 -2.34945049612
-2.263 -2.15184271089
-2.232 -2.15762079374
-2.222 -2.14143739105
-2.153 -2.45913576695
-2.053 -1.98890815014
-2.013 -1.93719426256
-1.8 -1.7221724588
-1.759 -1.65617892158
-1.564 -1.52225218603
-1.43 -1.37719414429
-1.315 -1.25485597366
-1.264 -1.2286
-1.225 -1.11079999342
-1.21 -1.0759
-1.116 -0.975985156646
-1.098 -1.00099759037
-1.076 -1.04599442398
-0.834 -0.675199518513
-0.831 -0.670194763403
-0.702 -0.621382179438
-0.653 -0.520464764856
-0.604 -0.519494448402
-0.564 -0.50049989138
-0.536 -0.442497355595
-0.414 -0.357596165323
-0.326 -0.223972288637
-0.273 -0.145583168837
-0.259 -0.162396734965
-0.252 -0.156298402806
-0.239 -0.06489971125
0.04 0.229200111391
0.123 0.34540928875
0.171 0.412400564721
0.207 0.443601142204
0.244 0.450500636244
0.281 0.561401088199
0.322 0.61300181179
0.334 0.589001825317
0.34 0.614601815106
0.385 0.653405821456
