# nkpt: 1 neig: 130
# E(LDA) E(GW)
-20.545 -22.585
-20.138 -23.427
-17.815 -20.327
-15.711 -18.218
-14.966 -17.127
-12.631 -14.539
-12.114 -13.794
-10.981 -10.577
-10.428 -11.771
-10.381 -11.773
-9.939 -9.603
-9.852 -9.543
-9.840 -9.521
-9.698 -10.800
-9.477 -9.193
-9.463 -9.175
-9.348 -10.764
-8.827 -8.559
-8.794 -8.524
-8.459 -8.249
-8.431 -8.205
-8.422 -8.186
-8.358 -8.132
-8.347 -8.123
-8.342 -8.116
-8.333 -8.105
-7.946 -9.384
-7.656 -8.595
-7.608 -7.941
-7.382 -8.478
-7.336 -7.164
-7.309 -7.149
-7.307 -7.131
-7.297 -7.131
-7.278 -7.229
-7.259 -7.312
-6.956 -6.921
-6.920 -6.807
-6.834 -7.667
-6.500 -6.350
-6.494 -6.377
-6.437 -6.678
-6.209 -6.529
-5.878 -5.860
-5.832 -5.757
-5.806 -5.734
-5.799 -5.727
-5.544 -6.480
-5.500 -5.393
-5.472 -5.358
-5.298 -5.292
-5.149 -5.125
-5.065 -4.934
-5.056 -4.925
-5.049 -4.920
-5.025 -4.901
-5.016 -4.884
-5.012 -4.881
-4.873 -4.888
-4.797 -4.780
-4.587 -5.118
-4.183 -4.199
-4.068 -3.984
-4.052 -3.973
-4.046 -3.944
-4.037 -3.950
-4.026 -3.936
-4.025 -3.915
-4.010 -3.953
-3.974 -3.844
-3.963 -3.837
-3.945 -3.830
-3.930 -3.806
-3.864 -3.827
-3.733 -3.713
-3.703 -3.678
-3.692 -3.694
-3.682 -3.660
-3.565 -4.093
-3.104 -3.064
-2.997 -2.909
-2.969 -2.874
-2.947 -2.863
-2.935 -2.826
-2.779 -2.722
-2.765 -2.707
-2.718 -2.680
-2.678 -2.667
-2.436 -2.430
-2.388 -2.362
-2.263 -2.207
-2.232 -2.152
-2.222 -2.133
-2.153 -2.333
-2.053 -1.991
-2.013 -1.978
-1.800 -1.713
-1.759 -1.663
-1.564 -1.508
-1.430 -1.372
-1.315 -1.253
-1.264 -1.205
-1.225 -1.092
-1.210 -1.067
-1.116 -0.966
-1.098 -0.981
-1.076 -1.012
-0.834 -0.655
-0.831 -0.651
-0.702 -0.585
-0.653 -0.484
-0.604 -0.479
-0.564 -0.461
-0.536 -0.419
-0.414 -0.299
-0.326 -0.173
-0.273 -0.117
-0.259 -0.098
-0.252 -0.093
-0.239 -0.049
0.040 0.202
0.123 0.322
0.171 0.403
0.207 0.420
0.244 0.435
0.281 0.547
0.322 0.587
0.334 0.564
0.340 0.589
0.385 0.645
