 # The norm of the isolated state is (3144960.00009502,0.000000000000000E+000)
 # Based on (nx)(ny)(nz) I think there should be     3144960
           1 -3.487489617660824E-004  7.689831412651758E-004
           2 -2.906079868374824E-004  6.408059066142526E-004
           3  2.272593382002135E-004 -5.010824369850597E-004
           4 -9.525170179319634E-006  2.095669274042376E-005
           5 -5.054715262322207E-004  1.112908332690675E-003
           6 -4.271049901718777E-005  9.423854642450440E-005
           7 -4.375917839789454E-004  9.605865659746567E-004
           8  2.339538480115145E-002 -5.022275063838779E-002
           9 -1.436129310230285E-004  3.169941733565539E-004
          10 -1.976143487551844E-003  4.392620797751020E-003
          11 -2.592028533784558E-002  5.806536173832581E-002
          12 -4.495834563230828E-003  9.583124518992046E-003
          13  1.524304979710666E-004 -3.588992729868936E-004
          14  1.910083624503139E-003 -4.204127691299440E-003
          15 -6.688120540187235E-004  1.398973465999641E-003
          16 -1.785299402830461E-003  3.742122726458892E-003
          17 -6.823635258631265E-005  1.504260686664687E-004
          18  6.058809012473625E-003 -1.351142479155314E-002
          19  6.350885051484252E-003 -1.567740704044048E-002
          20  1.793369042881000E-002 -4.268980380274261E-002
          21 -1.499947640705294E-002  3.169758348287638E-002
          22  9.384277997517647E-003 -2.061879917206226E-002
          23 -6.478438155557719E-004  1.429569086312265E-003
          24  1.857352874138242E-003 -2.697065454113617E-003
          25 -2.476557331891934E-003  5.557845598448569E-003
          26 -3.210314040936566E-003  5.812325066260690E-003
          27  9.308043381266142E-004 -2.187024096315983E-003
          28 -1.406202824092674E-003  3.115119828223426E-003
          29  5.515018821075977E-003 -1.445424411366442E-002
          30 -5.170839302795224E-004  1.022541181655856E-003
          31 -9.460113295419481E-004  2.136284239998920E-003
          32  1.528316256938205E-003 -3.339566247603681E-003
          33  3.053300321516404E-003 -6.372361356318370E-003
          34  1.185944449847272E-003 -2.554285368584829E-003
          35 -5.589739130419869E-003  1.225830765569083E-002
          36  4.123974051093559E-003 -9.097478932526036E-003
          37 -2.808104956689806E-003  6.214847100240982E-003
          38 -5.784856700945779E-004  1.191345860929359E-003
          39  2.320550024217278E-003 -5.110460764686153E-003
          40  2.199241603800035E-003 -4.750916112872082E-003
          41  3.926280441941352E-003 -8.607326890171935E-003
          42 -1.703606175636898E-002  3.720100226681810E-002
          43  1.440534805220243E-002 -3.175570947954574E-002
